index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2022/03/24 18:35:58.398, 145.38 W, 1828 MHz, 3802 MHz, 1828 MHz
0, 2022/03/24 18:36:08.404, 126.57 W, 1812 MHz, 3802 MHz, 1812 MHz
0, 2022/03/24 18:36:18.409, 140.37 W, 1833 MHz, 3802 MHz, 1833 MHz
0, 2022/03/24 18:36:28.422, 132.59 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:36:38.449, 132.35 W, 1812 MHz, 3802 MHz, 1812 MHz
0, 2022/03/24 18:36:48.455, 114.38 W, 1819 MHz, 3802 MHz, 1819 MHz
0, 2022/03/24 18:36:58.469, 133.09 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:37:08.484, 130.49 W, 1822 MHz, 3802 MHz, 1822 MHz
0, 2022/03/24 18:37:18.501, 126.07 W, 1822 MHz, 3802 MHz, 1822 MHz
0, 2022/03/24 18:37:28.512, 133.92 W, 1815 MHz, 3802 MHz, 1815 MHz
0, 2022/03/24 18:37:38.532, 144.25 W, 1820 MHz, 3802 MHz, 1820 MHz
0, 2022/03/24 18:37:48.550, 135.08 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:37:58.567, 128.44 W, 1815 MHz, 3802 MHz, 1815 MHz
0, 2022/03/24 18:38:08.582, 125.46 W, 1820 MHz, 3802 MHz, 1820 MHz
0, 2022/03/24 18:38:18.594, 110.50 W, 1819 MHz, 3802 MHz, 1819 MHz
0, 2022/03/24 18:38:28.606, 131.66 W, 1808 MHz, 3802 MHz, 1808 MHz
0, 2022/03/24 18:38:38.624, 117.07 W, 1820 MHz, 3802 MHz, 1820 MHz
0, 2022/03/24 18:38:48.633, 138.45 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:38:58.656, 129.26 W, 1822 MHz, 3802 MHz, 1822 MHz
0, 2022/03/24 18:39:08.666, 122.74 W, 1836 MHz, 3802 MHz, 1836 MHz
0, 2022/03/24 18:39:18.675, 140.40 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:39:28.681, 119.37 W, 1824 MHz, 3802 MHz, 1824 MHz
0, 2022/03/24 18:39:38.697, 122.96 W, 1812 MHz, 3802 MHz, 1812 MHz
0, 2022/03/24 18:39:48.715, 130.20 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:39:58.732, 128.13 W, 1808 MHz, 3802 MHz, 1808 MHz
0, 2022/03/24 18:40:08.748, 132.85 W, 1819 MHz, 3802 MHz, 1819 MHz
0, 2022/03/24 18:40:18.770, 138.31 W, 1816 MHz, 3802 MHz, 1816 MHz
0, 2022/03/24 18:40:28.790, 129.19 W, 1814 MHz, 3802 MHz, 1814 MHz
0, 2022/03/24 18:40:38.806, 117.59 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:40:48.817, 121.69 W, 1822 MHz, 3802 MHz, 1822 MHz
